Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Gobo Size,Circuit Name,Circuit#,Cable,Data Cable,Mark,System,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,Scenery,Focus L/R,Focus U/D,Focus Note,US,DS,SR,SL,Top,Bot,Focus Status,Axis,Beam,VW Layer,VW Label Legend,VW Class,VW X Coordinate,VW Y Coordinate,VW Z Coordinate,VW Symbol Rotation,VW Focus Point,Order of Light within Position,Lightwright ID,Vectorworks UID,Symbol,On Light Plot,Universe,DMX#,Dimmer Phase,Position Order,Work Note Status,Device Type,Color Frame,"When, What, and Who Changed",Position & Unit#,Instrument Type & Accessory,Instrument Type & Load,Instrument Type & Accessory & Load,Circuit Name & Circuit#,Color & Gobo,Color Flags,DMX Qty,Instrument Type Weight
,(134),168,1/168,Adv 3,6,ETC Source4 26deg,750w,26 deg Lens,R371,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,6,77E62A:33D8:2:29:Jonat,,,Adding,1,168,,12,,Light,,10/10/2023 at 14:25 - Usr3  by me,Adv 3 #6,ETC Source4 26deg+26 deg Lens,ETC Source4 26deg 750w,ETC Source4 26deg+26 deg Lens 750w,,R371,,1,8.5 kg
,(73),150,2/385,Adv 3,7,GLP S350,550w,,,,,,,,FP210-1,,B,,-> 71 -> 72,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,7,66F37D:33F3:3:9:Jonat,,,Adding,2,385,,12,,Moving Light,,10/10/2023 at 19:38 - Usr2  by me,Adv 3 #7,GLP S350,GLP S350 550w,GLP S350 550w,,,,35,25.5 kg
,(12),58,5/1,SR Under Balcony,1,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP010,,B,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,84357C:34FC:12:C:Jonat,,,Adding,5,1,,15,,Light,,10/10/2023 at 19:19 - DataCbl  by me,SR Under Balcony #1,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(11),58,5/17,SR Under Balcony,2,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP010,,B,,-> 12,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,1964A4:3505:12:F:Jonat,,,Adding,5,17,,15,,Light,,10/10/2023 at 19:35 - Usr2  by me,SR Under Balcony #2,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(43),60,5/137,SR Balcony Bar,1,GLP X4,350w,,,,,,,,FP113,,B,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,281B03:3544:14:29:Jonat,,,Adding,5,137,,16,,Moving Light,,10/10/2023 at 19:35 - Usr2  by me,SR Balcony Bar #1,GLP X4,GLP X4 350w,GLP X4 350w,,,,21,7.5 kg
,(13),49,6/1,SL Under Balcony,1,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP009,,B,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,43CD3E:34AB:9:1B:Jonat,,,Adding,6,1,,17,,Light,,10/10/2023 at 19:22 - DataCbl  by me,SL Under Balcony #1,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(14),49,6/17,SL Under Balcony,2,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP009,,B,,-> 13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,1116FE:34B4:9:1F:Jonat,,,Adding,6,17,,17,,Light,,10/10/2023 at 19:35 - Usr2  by me,SL Under Balcony #2,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(44),51,6/137,SL Balcony Bar,1,GLP X4,350w,,,,,,,,FP111,,B,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,90F83B:34A2:8:30:Jonat,,,Adding,6,137,,18,,Moving Light,,10/10/2023 at 19:35 - Usr2  by me,SL Balcony Bar #1,GLP X4,GLP X4 350w,GLP X4 350w,,,,21,7.5 kg
,(3),157,6/33,SL Tom Mannings Bar,1,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP209-2,,B,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,6FAB5F:34D8:11:A:Jonat,,,Adding,6,33,,23,,Light,,10/10/2023 at 19:26 - DataCbl  by me,SL Tom Mannings Bar #1,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(4),158,6/49,SL Tom Mannings Bar,2,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP209-2,,B,,-> 3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,862B64:34E1:11:E:Jonat,,,Adding,6,49,,23,,Light,,10/10/2023 at 19:37 - Usr2  by me,SL Tom Mannings Bar #2,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(1),169,5/33,SR Tom Mannings Bar,1,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP210-2,,B,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,93395C:34EA:11:2B:Jonat,,,Adding,5,33,,24,,Light,,10/10/2023 at 19:27 - DataCbl  by me,SR Tom Mannings Bar #1,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(2),170,5/49,SR Tom Mannings Bar,2,Chauvet E910FC 36deg,240w,36 deg Lens,R119,,,,,,FP210-2,,B,,-> 1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,913CC0:34F3:11:2E:Jonat,,,Adding,5,49,,24,,Light,,10/10/2023 at 19:38 - Usr2  by me,SR Tom Mannings Bar #2,Chauvet E910FC 36deg+36 deg Lens,Chauvet E910FC 36deg 240w,Chauvet E910FC 36deg+36 deg Lens 240w,,R119,,16,9 kg
,(75),37,6/81,SL Goalpost,1,GLP S350,550w,,,,,,,,FP101-1,,B,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,16C2FB:34CF:A:17:Jonat,,,Adding,6,81,,25,,Moving Light,,10/10/2023 at 19:27 - DataCbl  by me,SL Goalpost #1,GLP S350,GLP S350 550w,GLP S350 550w,,,,35,25.5 kg
,(74),43,5/81,SR Goalpost,1,GLP S350,550w,,,,,,,,FP102-1,,B,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,229DF9:3520:12:34:Jonat,,,Adding,5,81,,26,,Moving Light,,10/10/2023 at 19:27 - DataCbl  by me,SR Goalpost #1,GLP S350,GLP S350 550w,GLP S350 550w,,,,35,25.5 kg
,(22),1,6/65,SL Unistrut,1,Chauvet E910FC 26deg,240w,26 deg Lens,R119,,,,,,FP001-1,,B,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,63B73E:34C6:A:2:Jonat,,,Adding,6,65,,27,,Light,,10/10/2023 at 19:28 - DataCbl  by me,SL Unistrut #1,Chauvet E910FC 26deg+26 deg Lens,Chauvet E910FC 26deg 240w,Chauvet E910FC 26deg+26 deg Lens 240w,,R119,,16,9 kg
,(192),2,1/2,SL Unistrut,2,ETC Source4 36deg,750w,36 deg Lens,R371 + R119,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,568E05:34BD:9:35:Jonat,,,Adding,1,2,,27,,Light,,10/10/2023 at 14:25 - Usr3  by me,SL Unistrut #2,ETC Source4 36deg+36 deg Lens,ETC Source4 36deg 750w,ETC Source4 36deg+36 deg Lens 750w,,R371 + R119,,1,8.5 kg
,(21),7,5/65,SR Unistrut,1,Chauvet E910FC 26deg,240w,26 deg Lens,R119,,,,,,FP002-1,,B,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,8A4316:3517:12:27:Jonat,,,Adding,5,65,,28,,Light,,10/10/2023 at 19:28 - DataCbl  by me,SR Unistrut #1,Chauvet E910FC 26deg+26 deg Lens,Chauvet E910FC 26deg 240w,Chauvet E910FC 26deg+26 deg Lens 240w,,R119,,16,9 kg
,(191),8,1/8,SR Unistrut,2,ETC Source4 36deg,750w,36 deg Lens,R371 + R119,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,85B132:350E:12:1E:Jonat,,,Adding,1,8,,28,,Light,,10/10/2023 at 14:25 - Usr3  by me,SR Unistrut #2,ETC Source4 36deg+36 deg Lens,ETC Source4 36deg 750w,ETC Source4 36deg+36 deg Lens 750w,,R371 + R119,,1,8.5 kg
,(34),73,3/193,DSL Ladder,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP202-1,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,4AB024:3598:18:12:Jonat,,,Adding,3,193,,29,,Light,,10/10/2023 at 19:28 - DataCbl  by me,DSL Ladder #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(46),74,3/265,DSL Ladder,2,GLP X4,350w,,,,,,,,FP202-1,,B,,-> 34,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,85B506:35A1:18:1C:Jonat,,,Adding,3,265,,29,,Moving Light,,10/10/2023 at 19:36 - Usr2  by me,DSL Ladder #2,GLP X4,GLP X4 350w,GLP X4 350w,,,,21,7.5 kg
,(24),75,3/307,DSL Ladder,3,Chauvet E910FC 26deg,240w,26 deg Lens,R119,,,,,,FP202-1,,B,,-> 34 -> 46,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,39A6D4:35AA:18:26:Jonat,,,Adding,3,307,,29,,Light,,10/10/2023 at 19:36 - Usr2  by me,DSL Ladder #3,Chauvet E910FC 26deg+26 deg Lens,Chauvet E910FC 26deg 240w,Chauvet E910FC 26deg+26 deg Lens 240w,,R119,,16,9 kg
,(33),79,3/211,DSR Ladder,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP201-1,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,50126D:354D:15:25:Jonat,,,Adding,3,211,,30,,Light,,10/10/2023 at 19:28 - DataCbl  by me,DSR Ladder #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(45),80,3/286,DSR Ladder,2,GLP X4,350w,,,,,,,,FP201-1,,B,,-> 33,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,403EC9:3556:15:2F:Jonat,,,Adding,3,286,,30,,Moving Light,,10/10/2023 at 19:35 - Usr2  by me,DSR Ladder #2,GLP X4,GLP X4 350w,GLP X4 350w,,,,21,7.5 kg
,(23),81,3/323,DSR Ladder,3,Chauvet E910FC 26deg,240w,26 deg Lens,R119,,,,,,FP201-1,,B,,-> 33 -> 45,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,B067B:355F:16:1:Jonat,,,Adding,3,323,,30,,Light,,10/10/2023 at 19:36 - Usr2  by me,DSR Ladder #3,Chauvet E910FC 26deg+26 deg Lens,Chauvet E910FC 26deg 240w,Chauvet E910FC 26deg+26 deg Lens 240w,,R119,,16,9 kg
,(36),76,3/229,USL Ladder,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP206-1,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,30BA38:35B3:18:34:Jonat,,,Adding,3,229,,31,,Light,,10/10/2023 at 19:29 - DataCbl  by me,USL Ladder #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(26),77,3/339,USL Ladder,2,Chauvet E910FC 26deg,240w,26 deg Lens,R119,,,,,,FP206-1,,B,,-> 36,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,15E77A:35BC:19:3:Jonat,,,Adding,3,339,,31,,Light,,10/10/2023 at 19:37 - Usr2  by me,USL Ladder #2,Chauvet E910FC 26deg+26 deg Lens,Chauvet E910FC 26deg 240w,Chauvet E910FC 26deg+26 deg Lens 240w,,R119,,16,9 kg
,(182),78,1/78,USL Ladder,3,ETC Source4 19deg,750w,19 deg Lens,R371 + R119,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,65C9D3:35C5:19:C:Jonat,,,No,1,78,,31,,Light,,10/10/2023 at 14:26 - Usr3  by me,USL Ladder #3,ETC Source4 19deg+19 deg Lens,ETC Source4 19deg 750w,ETC Source4 19deg+19 deg Lens 750w,,R371 + R119,,1,8.5 kg
,(35),97,3/247,USR Ladder,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP204-2,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,236777:3568:16:25:Jonat,,,Adding,3,247,,32,,Light,,10/10/2023 at 19:29 - DataCbl  by me,USR Ladder #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(25),98,3/355,USR Ladder,2,Chauvet E910FC 26deg,240w,26 deg Lens,R119,,,,,,FP204-2,,B,,-> 35,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,57BE32:3571:16:33:Jonat,,,Adding,3,355,,32,,Light,,10/10/2023 at 19:36 - Usr2  by me,USR Ladder #2,Chauvet E910FC 26deg+26 deg Lens,Chauvet E910FC 26deg 240w,Chauvet E910FC 26deg+26 deg Lens 240w,,R119,,16,9 kg
,(181),99,1/99,USR Ladder,3,ETC Source4 19deg,750w,19 deg Lens,R371 + R119,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,435A12:357A:17:F:Jonat,,,No,1,99,,32,,Light,,10/10/2023 at 14:26 - Usr3  by me,USR Ladder #3,ETC Source4 19deg+19 deg Lens,ETC Source4 19deg 750w,ETC Source4 19deg+19 deg Lens 750w,,R371 + R119,,1,8.5 kg
,(31),149,5/158,Fly Floor SR,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP208-2,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,8B2ACA:3529:13:A:Jonat,,,Adding,5,158,,33,,Light,,10/10/2023 at 19:29 - DataCbl  by me,Fly Floor SR #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(32),139,6/158,Fly Floor SL,1,Chauvet F915FC,260w,Barndoors,,,,,,,FP207-2,,B,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,1D831D:3532:13:29:Jonat,,,Adding,6,158,,34,,Light,,10/10/2023 at 19:29 - DataCbl  by me,Fly Floor SL #1,Chauvet F915FC+Barndoors,Chauvet F915FC 260w,Chauvet F915FC+Barndoors 260w,,,,18,8.6 kg
,(64),151,4/1,TWG Front,1,ETC Source 4 Revolution,950w,,,,,,,,FP209-1,,B,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,4CF120:3400:5:29:Jonat,,,Adding,4,1,,35,,Moving Light,,10/10/2023 at 19:29 - DataCbl  by me,TWG Front #1,ETC Source 4 Revolution,ETC Source 4 Revolution 950w,ETC Source 4 Revolution 950w,,,,31,33.6 kg
,(65),152,4/32,TWG Front,2,ETC Source 4 Revolution,950w,,,,,,,,FP209-1,,B,,-> 64,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,53E98A:3409:5:2D:Jonat,,,Adding,4,32,,35,,Moving Light,,10/10/2023 at 19:37 - Usr2  by me,TWG Front #2,ETC Source 4 Revolution,ETC Source 4 Revolution 950w,ETC Source 4 Revolution 950w,,,,31,33.6 kg
,(66),153,4/63,TWG Front,3,ETC Source 4 Revolution,950w,,,,,,,,FP209-1,,B,,-> 64 -> 65,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,6447B0:3412:5:33:Jonat,,,Adding,4,63,,35,,Moving Light,,10/10/2023 at 19:37 - Usr2  by me,TWG Front #3,ETC Source 4 Revolution,ETC Source 4 Revolution 950w,ETC Source 4 Revolution 950w,,,,31,33.6 kg
,(61),154,4/101,TWG Middle,1,ETC Source 4 Revolution,950w,,,,,,,,FP209-1,,B,,-> 64 -> 65 -> 66,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,29C3E0:341B:6:0:Jonat,,,Adding,4,101,,36,,Moving Light,,10/10/2023 at 19:37 - Usr2  by me,TWG Middle #1,ETC Source 4 Revolution,ETC Source 4 Revolution 950w,ETC Source 4 Revolution 950w,,,,31,33.6 kg
,(62),155,4/132,TWG Middle,2,ETC Source 4 Revolution,950w,,,,,,,,FP209-1,,B,,-> 64 -> 65 -> 66 -> 61,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,2,7F83C6:3424:6:5:Jonat,,,Adding,4,132,,36,,Moving Light,,10/10/2023 at 19:37 - Usr2  by me,TWG Middle #2,ETC Source 4 Revolution,ETC Source 4 Revolution 950w,ETC Source 4 Revolution 950w,,,,31,33.6 kg
,(63),156,4/163,TWG Middle,3,ETC Source 4 Revolution,950w,,,,,,,,FP209-1,,B,,-> 64 -> 65 -> 66 -> 61 -> 62,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,3,9215E1:342D:6:A:Jonat,,,Adding,4,163,,36,,Moving Light,,10/10/2023 at 19:37 - Usr2  by me,TWG Middle #3,ETC Source 4 Revolution,ETC Source 4 Revolution 950w,ETC Source 4 Revolution 950w,,,,31,33.6 kg
,(201),181,1/181,TWG Back,1,Mirror Ball,,,,,,,,,,,B,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not,,,,,,,,,,,1,30B88F:4A29:E:2B:Jonat,,,Adding,1,181,,37,,Light,,,TWG Back #1,Mirror Ball,Mirror Ball,Mirror Ball,,,,1,
